timestamp,subject,organizer,duration,participant_count,type
2025-06-15 08:00:00,Pentecost Gathering — Jerusalem Upper Room,Peter,120,120,teams_meeting
2025-06-22 09:00:00,First Missionary Journey Debrief — Antioch,Paul,90,5,teams_meeting
2025-06-29 10:00:00,Healing at Beautiful Gate — Review,Peter,45,3,teams_meeting
2025-07-06 09:00:00,Gentile Mission Strategy — Caesarea,Peter,60,6,teams_meeting
2025-07-10 09:00:00,Jerusalem Council — Circumcision Controversy,James_Alphaeus,180,13,teams_meeting
2025-07-10 14:00:00,Jerusalem Council — Decree Drafting Session,James_Alphaeus,90,8,teams_meeting
2025-07-13 08:00:00,Second Missionary Journey Planning — Antioch,Paul,75,4,teams_meeting
2025-07-17 09:00:00,Corinthian Church Foundation — Corinth,Paul,60,7,teams_meeting
2025-07-20 08:00:00,Ephesian Elders Farewell — Miletus,Paul,90,12,teams_meeting
2025-07-24 10:00:00,Apollos Discipleship Session — Ephesus,John,45,3,teams_meeting
2025-07-27 08:00:00,Prayer for Peter's Release — Jerusalem,John,60,10,teams_meeting
2025-07-31 09:00:00,Third Missionary Journey Launch — Antioch,Paul,60,5,teams_meeting
2025-08-03 10:00:00,Breaking of Bread — Troas,Paul,120,20,teams_meeting
2025-08-07 09:00:00,Baptism of Cornelius Household — Caesarea,Peter,90,8,teams_meeting
2025-08-10 08:00:00,Philippian Church Founding — Philippi,Paul,60,6,teams_meeting
2025-08-14 09:00:00,Areopagus Address Debrief — Athens,Paul,45,4,teams_meeting
2025-08-17 10:00:00,Collection for Jerusalem Saints — Corinth,Paul,60,9,teams_meeting
2025-08-21 08:00:00,Revelation Vision Sharing — Patmos,John,90,2,teams_meeting
2025-08-24 09:00:00,Apostolic Letter — Galatian Churches,Paul,45,3,teams_meeting
2025-08-28 10:00:00,Roman Church Introduction — Rome,Paul,75,15,teams_meeting
2025-09-01 08:00:00,Daily Temple Prayer — Jerusalem,Peter,30,11,teams_meeting
2025-09-04 09:00:00,Samaritan Revival Debrief — Jerusalem,Philip,60,4,teams_meeting
2025-09-07 10:00:00,Ethiopian Eunuch Follow-up — Jerusalem,Philip,30,2,teams_meeting
2025-09-10 08:00:00,Thessalonian Church Encouragement — Thessalonica,Paul,45,8,teams_meeting
2025-09-14 09:00:00,Colossian Letter Dictation Session — Rome,Paul,60,3,teams_meeting
2025-09-17 10:00:00,Choosing of the Seven Deacons — Jerusalem,Peter,90,13,teams_meeting
2025-09-21 08:00:00,Paul Before Agrippa — Caesarea,Paul,60,5,teams_meeting
2025-09-24 09:00:00,Eutychus Incident Debrief — Troas,Paul,30,4,teams_meeting
2025-09-28 10:00:00,Apostles Commission Review — Jerusalem,Peter,120,13,teams_meeting
2025-10-01 08:00:00,Missionary Journey to Greece — Corinth,Andrew,90,5,teams_meeting
