subject,start,end,organizer,required attendees,optional attendees
Elders Meeting — Alexandria,2025-06-02 10:15:00,2025-06-02 11:00:00,Apollos,Agabus;Crescens;Tabitha;Eutychus;Nymphas;Cephas_Disciple;Secundus,Thomas;Joseph_Barsabas;Philip_Deacon;Nicolas
Lord's Supper Preparation — Samaria,2025-06-02 15:15:00,2025-06-02 16:45:00,Nicolas,Titus;Simon_Zealot,Trophimus
Sabbath Teaching Plan — Malta,2025-06-03 09:45:00,2025-06-03 12:15:00,Epaphras,Damaris;Dionysius;Quartus;Gaius_Macedonia;Onesiphorus;Rufus;Thaddaeus;Nicanor;Timon,John;Cephas_Disciple
Hospitality Network Coordination — Ephesus,2025-06-03 16:00:00,2025-06-03 19:00:00,Paul,Gaius_Derbe;Trophimus;Apollos;Philip;James_Zebedee;Damaris;Thaddaeus,Simon_Zealot
Idol-Meat Controversy — Patmos,2025-06-03 18:30:00,2025-06-03 19:30:00,Andrew,Nicolas;Crispus;Gaius_Derbe;Demetrius;Matthew;Phlegon;Asyncritus;Agabus;Nicanor,Hermes;Philemon;Tryphena
Widow's Care Logistics — Thyatira,2025-06-04 14:00:00,2025-06-04 15:30:00,Andrew,Tryphena;Caius;Cephas_Disciple;Tryphosa;Junia;Tychicus;Persis,Agabus
Persecution Response Briefing — Rome,2025-06-05 13:15:00,2025-06-05 14:45:00,Matthias,Phlegon;Aquila;Demetrius;Nicanor;Sopater;Barnabas,Cleopas;Rufus;Prochorus;John
Synagogue Outreach Planning — Philadelphia,2025-06-05 15:30:00,2025-06-05 17:30:00,Hermes,Simon_Zealot;Andronicus;Secundus;Joseph_Barsabas;Persis;Onesiphorus;Paul;Nicanor,Quartus;Apphia;Thomas
Elders Meeting — Samaria,2025-06-06 14:30:00,2025-06-06 16:00:00,Paul,Gaius_Derbe;Nicolas;Joseph_Barsabas;Trophimus;Thaddaeus;Barnabas;Asyncritus;Silas;Gaius_Macedonia;Luke,Bartholomew
Shipwreck Recovery Briefing — Samaria,2025-06-08 09:15:00,2025-06-08 10:15:00,Thomas,Nicanor;Agabus,
Trial Preparation — Tarsus,2025-06-09 10:00:00,2025-06-09 10:30:00,Bartholomew,Trophimus;Matthew;Simon_Zealot;Rufus;Demetrius;John;Stephen;Nicanor;Justus,
Hospitality Network Coordination — Ephesus,2025-06-11 13:30:00,2025-06-11 14:15:00,Bartholomew,Jason;Carpus;Epaphroditus;Stephen;Damaris;Silas;Epaphras;Crispus;Nymphas;John,
Hospitality Network Coordination — Crete,2025-06-11 18:00:00,2025-06-11 18:45:00,James_Alphaeus,Andrew;Jason;Archippus;Onesimus;Epaphras;Carpus;Demas,
Prayer Vigil — Patmos,2025-06-12 09:00:00,2025-06-12 11:30:00,Cleopas,Andronicus;Fortunatus;Damaris;Olympas;Nicanor;Dionysius;Stephanas,Demas;Tryphosa
Scribal Workshop — Cyprus,2025-06-12 13:30:00,2025-06-12 15:30:00,Phlegon,John;Sopater;Andronicus;Dionysius;Parmenas;Epaphroditus;Phoebe,Caius;Chloe
Prayer Vigil — Lystra,2025-06-13 07:15:00,2025-06-13 10:15:00,Barnabas,Lucius;Chloe;Demetrius;Andronicus;Persis;Aquila;Lydia,Rufus;Dionysius
Widow's Care Logistics — Perga,2025-06-13 09:30:00,2025-06-13 12:30:00,Paul,Hermes;Erastus;Andronicus;Cornelius;Manaen;Mary_Mark;Sopater;Achaicus;Epaphroditus,Archippus
Elders Meeting — Damascus,2025-06-13 11:00:00,2025-06-13 15:00:00,John,Carpus;Justus;Junia;Sopater;Lucius;Mary_Mark;Hermas;Titus;Erastus;Phlegon,
Elders Meeting — Hierapolis,2025-06-14 10:30:00,2025-06-14 12:00:00,Gaius_Derbe,Mark;Aristarchus;Paul;Crispus;Hermes;Eutychus;Onesimus;Gaius_Macedonia;Timon;Patrobas,Apollos;Quartus;Tryphena;James_Alphaeus
Breaking of Bread — Corinth,2025-06-15 14:00:00,2025-06-15 17:00:00,Thaddaeus,Eutychus;Achaicus;Quartus;Matthew;James_Zebedee;Sosthenes;Gaius_Derbe;Cleopas;Crescens,Asyncritus
Apostolic Letter Review — Corinth,2025-06-16 13:00:00,2025-06-16 15:00:00,James_Alphaeus,Achaicus;Zenas;Cornelius;Lucius;Gaius_Macedonia;Stephen;John,
Famine Relief Coordination — Athens,2025-06-17 07:00:00,2025-06-17 09:30:00,Matthias,Thaddaeus;Timothy;Rufus;Phlegon;Chloe;Lydia;Demetrius;Phoebe,
Farewell Address — Thyatira,2025-06-18 16:30:00,2025-06-18 17:30:00,Thomas,Sosthenes;Demetrius;Tryphena;Thaddaeus;Tabitha;Stephanas,Parmenas;Stephen
Council of Apostles — Smyrna,2025-06-20 08:30:00,2025-06-20 11:30:00,Matthias,Cleopas;Erastus;Joseph_Barsabas;Parmenas;Sosthenes;Lucius;Agabus;Prochorus,Demas
Teaching Schedule Review — Rome,2025-06-20 10:30:00,2025-06-20 11:30:00,Epaphras,Eutychus;Luke;Mary_Rome;Timothy;Stephen,Gaius_Macedonia;Justus;Erastus;Cornelius
Lord's Supper Preparation — Rome,2025-06-21 07:00:00,2025-06-21 11:00:00,Nicolas,Trophimus;Olympas;Timothy;Cornelius,Archippus;Tabitha;Joseph_Barsabas;Aristarchus
Gentile Mission Update — Joppa,2025-06-22 09:30:00,2025-06-22 12:00:00,Peter,Asyncritus;Priscilla;Demetrius;Mary_Mark,Mark
Vision Interpretation Session — Pergamum,2025-06-22 13:00:00,2025-06-22 14:00:00,Mark,Carpus;Epaphroditus;Priscilla;Tryphosa;Caius;Nymphas;Cleopas;Mary_Mark,Timon;Sosthenes
New Convert Catechesis — Berea,2025-06-22 18:45:00,2025-06-22 20:45:00,Philip,Justus;Mark;Philemon;Dionysius;Luke,Chloe;Stephanas
Widow's Care Logistics — Galatia,2025-06-23 07:15:00,2025-06-23 07:45:00,Crescens,Priscilla;Eutychus;Tryphena;Joseph_Barsabas,Thaddaeus
Sabbath Teaching Plan — Alexandria,2025-06-23 19:00:00,2025-06-23 20:00:00,Hermes,Junia;Matthias;Dionysius;Thaddaeus;Zenas;Mary_Mark,Gaius_Macedonia;Simon_Zealot;Achaicus
Doctrinal Council — Puteoli,2025-06-25 09:30:00,2025-06-25 10:15:00,Paul,Mary_Rome;Tryphena,Andronicus;Lucius;James_Alphaeus
Vision Interpretation Session — Pergamum,2025-06-25 10:00:00,2025-06-25 10:45:00,Patrobas,Andrew;Cornelius;Priscilla,
Widow's Care Logistics — Smyrna,2025-06-25 14:00:00,2025-06-25 14:30:00,Nicolas,Phoebe;Hermas;Carpus;Mary_Mark;Justus;Nicanor,Parmenas;Tryphosa;Manaen;Lucius
Hospitality Network Coordination — Jerusalem,2025-06-25 15:00:00,2025-06-25 15:45:00,James_Alphaeus,Olympas;Cleopas;Caius;Philip,Stephanas;Zenas;Mary_Mark
Persecution Response Briefing — Athens,2025-06-25 18:20:00,2025-06-25 19:50:00,Timon,Linus;Nicolas,Onesimus;Tabitha
Widow's Care Logistics — Colossae,2025-06-26 13:00:00,2025-06-26 14:30:00,James_Alphaeus,Nicolas;Olympas;Gaius_Derbe;Lydia;Luke;Damaris,
Synagogue Outreach Planning — Alexandria,2025-06-27 08:20:00,2025-06-27 10:50:00,James_Zebedee,Demas;Damaris,Hermas;Titus;Phoebe
Persecution Response Briefing — Miletus,2025-06-27 18:15:00,2025-06-27 19:45:00,James_Zebedee,Stephanas;James_Alphaeus;Secundus;Parmenas,
Trial Preparation — Cyprus,2025-06-28 08:00:00,2025-06-28 09:00:00,Paul,Asyncritus;Achaicus;Tryphosa;Nicolas;Mary_Mark;Justus;Hermas;Jason;Erastus;John,Chloe;Demetrius
Famine Relief Coordination — Hierapolis,2025-06-28 09:20:00,2025-06-28 09:50:00,Epaphras,Caius;Timothy;Titus;Epaphroditus;Tryphena;Rufus;Hermes,Apphia;Andrew
Trial Preparation — Galatia,2025-06-28 13:15:00,2025-06-28 14:15:00,Thomas,Damaris;Titus;Matthias;Persis;Trophimus;Tychicus,Epaphroditus
Missionary Strategy Session — Cyprus,2025-06-28 18:30:00,2025-06-28 19:30:00,Phlegon,Nicanor;Parmenas;Crescens,Patrobas
Gentile Mission Update — Puteoli,2025-06-29 09:15:00,2025-06-29 10:15:00,Tychicus,Crispus;Titus;Philemon;Zenas;Matthew;Dionysius;Chloe,Apollos;Mary_Rome
