timestamp,subject,organizer,duration,participant_count,type
2025-06-02 08:00:00,Synagogue Outreach Planning — Joppa,Paul,150,7,teams_meeting
2025-06-02 08:30:00,Letter Dictation — Philadelphia,Paul,10,4,teams_call
2025-06-02 11:00:00,Teaching Schedule Review — Smyrna,Peter,90,7,teams_meeting
2025-06-03 07:00:00,Baptism Service Coordination — Derbe,Paul,180,10,teams_meeting
2025-06-03 08:15:00,Persecution Response Briefing — Philippi,Onesiphorus,150,13,teams_meeting
2025-06-03 09:00:00,Widow's Care Logistics — Berea,Matthew,180,7,teams_meeting
2025-06-03 10:30:00,Teaching Schedule Review — Alexandria,Tychicus,5,3,teams_call
2025-06-05 16:00:00,Sabbath Teaching Plan — Derbe,Aristarchus,3,4,teams_chat
2025-06-06 08:30:00,Farewell Address — Samaria,Luke,20,2,teams_call
2025-06-07 18:00:00,Vision Interpretation Session — Perga,Paul,90,11,teams_meeting
2025-06-09 08:30:00,Baptism Service Coordination — Tarsus,Sosthenes,20,3,teams_call
2025-06-09 16:00:00,Persecution Response Briefing — Pergamum,Onesiphorus,30,3,teams_call
2025-06-10 08:20:00,Trial Preparation — Puteoli,Epaphras,60,3,teams_meeting
2025-06-10 09:00:00,Council of Apostles — Lystra,Peter,10,2,teams_call
2025-06-10 19:30:00,Letter Dictation — Crete,Thomas,30,11,teams_meeting
2025-06-11 07:20:00,Farewell Address — Rome,Linus,8,2,teams_chat
2025-06-11 08:45:00,Teaching Schedule Review — Rome,Andrew,8,4,teams_chat
2025-06-11 09:20:00,Trial Preparation — Joppa,Onesiphorus,60,9,teams_meeting
2025-06-11 09:30:00,Idol-Meat Controversy — Colossae,Simon_Zealot,120,12,teams_meeting
2025-06-11 14:00:00,Breaking of Bread — Hierapolis,Thaddaeus,10,4,teams_chat
2025-06-12 08:00:00,New Convert Catechesis — Caesarea,Peter,150,6,teams_meeting
2025-06-12 09:45:00,Missionary Strategy Session — Thyatira,Paul,10,3,teams_chat
2025-06-12 10:20:00,Baptism Service Coordination — Berea,Trophimus,30,14,teams_meeting
2025-06-13 09:30:00,Prayer Vigil — Miletus,Paul,45,8,teams_meeting
2025-06-14 08:20:00,Deacon Selection — Patmos,Rufus,90,8,teams_meeting
2025-06-14 09:00:00,Teaching Schedule Review — Galatia,Paul,120,13,teams_meeting
2025-06-15 07:30:00,Breaking of Bread — Iconium,Matthias,10,3,teams_chat
2025-06-15 08:30:00,Collection for the Saints — Philippi,Thaddaeus,60,15,teams_meeting
2025-06-15 08:30:00,Vision Interpretation Session — Philadelphia,James_Zebedee,150,5,teams_meeting
2025-06-16 09:00:00,New Convert Catechesis — Miletus,Thaddaeus,90,5,teams_meeting
2025-06-16 10:00:00,Healing Ministry Debrief — Puteoli,Thaddaeus,150,13,teams_meeting
2025-06-17 07:15:00,Church Planting Review — Patmos,Simon_Zealot,60,5,teams_meeting
2025-06-17 11:00:00,Vision Interpretation Session — Crete,Olympas,45,3,teams_call
2025-06-18 18:00:00,Persecution Response Briefing — Perga,Thaddaeus,60,14,teams_meeting
2025-06-18 19:45:00,Elders Meeting — Iconium,Paul,5,2,teams_call
2025-06-19 08:00:00,Hospitality Network Coordination — Philippi,Caius,60,10,teams_meeting
2025-06-20 09:00:00,Idol-Meat Controversy — Galatia,Thomas,150,4,teams_meeting
2025-06-20 10:15:00,Shipwreck Recovery Briefing — Miletus,Onesimus,45,2,teams_call
2025-06-20 13:00:00,Healing Ministry Debrief — Rome,Paul,120,13,teams_meeting
2025-06-20 16:00:00,Widow's Care Logistics — Troas,Hermas,45,7,teams_meeting
2025-06-22 09:00:00,Persecution Response Briefing — Laodicea,Apollos,60,7,teams_meeting
2025-06-22 10:30:00,Council of Apostles — Berea,Joseph_Barsabas,150,13,teams_meeting
2025-06-22 14:00:00,Vision Interpretation Session — Perga,Epaphras,45,8,teams_meeting
2025-06-23 09:00:00,Council of Apostles — Sardis,Nicanor,150,4,teams_meeting
2025-06-23 10:00:00,Scribal Workshop — Antioch,Paul,3,3,teams_chat
2025-06-23 18:00:00,Hospitality Network Coordination — Cyprus,Asyncritus,10,2,teams_call
2025-06-24 19:15:00,Gentile Mission Update — Galatia,Philip,60,9,teams_meeting
2025-06-25 09:45:00,Missionary Strategy Session — Sardis,Paul,180,5,teams_meeting
2025-06-26 19:00:00,Gentile Mission Update — Colossae,Thaddaeus,5,2,teams_call
2025-06-27 08:00:00,Deacon Selection — Pergamum,Timon,75,4,teams_meeting
2025-06-27 08:00:00,Prayer Vigil — Ephesus,Mark,120,13,teams_meeting
2025-06-27 08:00:00,Doctrinal Council — Caesarea,Bartholomew,10,3,teams_chat
2025-06-27 09:45:00,Teaching Schedule Review — Pergamum,Cephas_Disciple,15,3,teams_call
2025-06-27 13:00:00,Farewell Address — Sardis,Paul,120,10,teams_meeting
2025-06-28 11:30:00,Deacon Selection — Crete,Simon_Zealot,5,3,teams_call
2025-06-28 16:00:00,Farewell Address — Troas,Paul,75,6,teams_meeting
2025-06-29 09:45:00,Doctrinal Council — Jerusalem,Paul,150,11,teams_meeting
2025-06-29 13:30:00,Shipwreck Recovery Briefing — Jerusalem,Timon,30,3,teams_meeting
2025-06-29 14:00:00,Widow's Care Logistics — Samaria,James_Zebedee,10,3,teams_call
2025-06-30 10:30:00,Gentile Mission Update — Colossae,Parmenas,8,4,teams_chat
2025-06-30 14:00:00,Elders Meeting — Philadelphia,Thaddaeus,45,4,teams_meeting
2025-07-01 08:20:00,Synagogue Outreach Planning — Malta,Zenas,120,6,teams_meeting
2025-07-01 10:00:00,Famine Relief Coordination — Malta,Erastus,5,5,teams_chat
2025-07-01 13:00:00,Idol-Meat Controversy — Galatia,Andrew,180,6,teams_meeting
2025-07-02 11:00:00,Deacon Selection — Lystra,Secundus,2,2,teams_chat
2025-07-03 08:30:00,Missionary Strategy Session — Thyatira,Bartholomew,180,4,teams_meeting
2025-07-03 14:00:00,Scribal Workshop — Miletus,Andrew,5,3,teams_call
2025-07-04 10:30:00,Famine Relief Coordination — Thessalonica,Barnabas,3,4,teams_chat
2025-07-05 07:30:00,Doctrinal Council — Damascus,Cleopas,120,6,teams_meeting
2025-07-05 09:00:00,Hospitality Network Coordination — Crete,Luke,15,4,teams_call
2025-07-05 14:15:00,Gentile Mission Update — Athens,Peter,15,2,teams_call
2025-07-05 18:00:00,Deacon Selection — Alexandria,John,5,2,teams_call
2025-07-06 14:45:00,Baptism Service Coordination — Troas,Nicolas,180,9,teams_meeting
